// HASH_VALUE 4E6651617D57DB99
// INDEX 0
abandon_mission	[&TSK&你放弃了一个任务。]

// HASH_VALUE 09A952BAF4938F6C
// INDEX 4966
newbieland_ranger_welcome_gf_comeagainty	[准备好接受战斗训练了吗，$player$？\n
	\n
	$fyrosnpc$ 在营地北部的 Fyros 人那边等你。\n
	\n
	想试别的职业时，随时回来找我。]

// HASH_VALUE C41BAFDBAE693501
// INDEX 4967
newbieland_ranger_welcome_gf_comeagainty2	[你想修炼魔法，那就去找贤者 $zorainpc$——他就在这儿东边不远。\n
	\n
	想试别的职业时，随时回来找我。]

// HASH_VALUE 106782FA2A5CAD55
// INDEX 4968
newbieland_ranger_welcome_gf_comeagainty3	[去找工匠大师 $matisnpc$，但我先提醒你：他脸色不太好看。他在东南的 Matis 营地。\n
	\n
	想试别的职业时，随时回来找我。]

// HASH_VALUE 2E305A28B49F7E73
// INDEX 4969
newbieland_ranger_welcome_gf_comeagainty4	[采集者的训练由 $trykernpc$ 负责。你可以在西南 Tryker 营地附近找到她。\n
	\n
	想试别的职业时，随时回来找我。]

// HASH_VALUE 0000000000000000
// INDEX 4970
newbieland_ranger_welcome_gf_dummyp	[]

// HASH_VALUE 65189A688ADE6451
// INDEX 4971
newbieland_ranger_welcome_gf_followradarfyros_1	[跟着雷达上的指示，去找 $fyrosnpc$ 谈话。]

// HASH_VALUE 65189A620B5D8051
// INDEX 4972
newbieland_ranger_welcome_gf_followradarmatis_1	[跟着雷达上的指示，去找 $matisnpc$ 谈话。]

// HASH_VALUE D6D1AC915921B668
// INDEX 4973
newbieland_ranger_welcome_gf_followradartryker_1	[跟着雷达上的指示，去找 $trykernpc$ 谈话。]

// HASH_VALUE 6518725A8A3DB451
// INDEX 4974
newbieland_ranger_welcome_gf_followradarzorai_1	[跟着雷达上的指示，去找 $zorainpc$ 谈话。]

// HASH_VALUE 9AEB2F78F5D791E1
// INDEX 4975
newbieland_ranger_welcome_gf_fyros	[跟我讲讲 Fyros。]

// HASH_VALUE 9D3E0E7BFDE50E00
// INDEX 4976
newbieland_ranger_welcome_gf_fyrosp	[战斗。]

// HASH_VALUE D9F6C2E41362334C
// INDEX 4977
newbieland_ranger_welcome_gf_kami	[跟我讲讲 Kami。]

// HASH_VALUE D914399237DCC3BD
// INDEX 4978
newbieland_ranger_welcome_gf_karavan	[跟我讲讲 Karavan。]

// HASH_VALUE DB0BCF7976F6B5C9
// INDEX 4979
newbieland_ranger_welcome_gf_matis	[跟我讲讲 Matis。]

// HASH_VALUE C5CAB45130DC4E8C
// INDEX 4980
newbieland_ranger_welcome_gf_matisp	[手工制造。]

// HASH_VALUE C4705CE860A09CB0
// INDEX 4981
newbieland_ranger_welcome_gf_morep	[跟我讲讲各民族。]

// HASH_VALUE 50B3CD687A74C392
// INDEX 4982
newbieland_ranger_welcome_gf_p_auto_menu	[我有件事要请您帮忙。]

// HASH_VALUE 58F7830673818C4B
// INDEX 4983
newbieland_ranger_welcome_gf_p_mis_desc	[找一位导师，精进你选择的艺术。]

// HASH_VALUE 5052A096568B62E7
// INDEX 4984
newbieland_ranger_welcome_gf_p_mis_title	[抵达营地。]

// HASH_VALUE 47BD686A41DFED16
// INDEX 4985
newbieland_ranger_welcome_gf_p_t2_resumje	[我还有几个问题……]

// HASH_VALUE 4157DF945D0851C7
// INDEX 4986
newbieland_ranger_welcome_gf_question	[如你所见，我是 Zorai 人，却很少用魔法——但我敢跟任何 Fyros 人比试斧头！\n
	\n
	每个人都可以想学什么就学什么，但我们的某些文化确实比别的更擅长某些事情。\n
	\n
	好，你想知道什么？]

// HASH_VALUE C83B2767A008B1EE
// INDEX 4987
newbieland_ranger_welcome_gf_questionk	[我能怎么帮你，$player$？\n
	\n
	如果你想找训练师，告诉我你想修习哪门艺术，我指引你去找他。]

// HASH_VALUE D886947FC5118EA5
// INDEX 4988
newbieland_ranger_welcome_gf_tryker	[跟我讲讲 Tryker。]

// HASH_VALUE 0638D22949C08C32
// INDEX 4989
newbieland_ranger_welcome_gf_trykerp	[采集。]

// HASH_VALUE 1CEBF97E1456E153
// INDEX 4990
newbieland_ranger_welcome_gf_zorai	[跟我讲讲 Zoraï。]

// HASH_VALUE 07EE2A25D080F947
// INDEX 4991
newbieland_ranger_welcome_gf_zoraip	[魔法。]

// HASH_VALUE D9F6C2E41362334C
// INDEX 4992
newbieland_ranger_welcome_kami	[跟我讲讲 Kami。]

// HASH_VALUE D914399237DCC3BD
// INDEX 4993
newbieland_ranger_welcome_karavan	[跟我讲讲 Karavan。]

// HASH_VALUE DB0BCF7976F6B5C9
// INDEX 4994
newbieland_ranger_welcome_matis	[跟我讲讲 Matis。]

// HASH_VALUE 50B3CD687A74C392
// INDEX 4995
newbieland_ranger_welcome_p_auto_menu	[我有件事要请您帮忙。]

// HASH_VALUE F6D4B3DD6B710E98
// INDEX 4996
newbieland_ranger_welcome_p_mis_desc	[多了解一点 Atys 各民族的情况。]

// HASH_VALUE 09BEB6C0CD29EC62
// INDEX 4997
newbieland_ranger_welcome_p_mis_title	[Atys 的主角们。]

// HASH_VALUE D81A8C2920FA0438
// INDEX 4998
newbieland_ranger_welcome_p_t2_resume	[关于这个地区和它的居民，我还有几个问题。]

// HASH_VALUE F8A0FC8DE0B3F08F
// INDEX 4999
newbieland_ranger_welcome_question	[好，你想知道什么？]

// HASH_VALUE D886947FC5118EA5
// INDEX 5000
newbieland_ranger_welcome_tryker	[跟我讲讲 Tryker。]

// HASH_VALUE 1CEBF97E1456E153
// INDEX 5001
newbieland_ranger_welcome_zorai	[跟我讲讲 Zoraï。]

// HASH_VALUE 983546EE04C7FD26
// INDEX 5002
newbieland_ranger_xleavetheland_2_miss_desc	[找出动身去都城的办法。]

// HASH_VALUE 8CD86043CFA3D448
// INDEX 5003
newbieland_ranger_xleavetheland_2_mis_title	[动身前往都城。]

// HASH_VALUE 76FC1A400EEA7B71
// INDEX 5004
newbieland_ranger_xleavetheland_2_p_ldc_fyros_leader_m	[他说的不假。你好，年轻的 homin。的确，这个营地生活的表面温和之下，隐藏着需要有勇气去面对的问题。我看到许多自称战士的人，但只有其中一些真正立得下战功。如果你觉得自己属于那少数出类拔萃的 homins，那好，我有任务给你。{break}\n
	\n
	我会先派你去完成一些简单的差事。等你用一次次成功证明了自己的价值，我才会把最艰巨的任务交给你。如果你再一次凯旋，作为这一切的报酬，我会把我用了多年的一件武器授予你——一柄配得上 Fyros 战士气魄的绝世之刃。现在去吧，等你准备好迎接我说的那些挑战时再回来。]

// HASH_VALUE 0B1A6DCDDB6F2E02
// INDEX 5005
newbieland_ranger_xleavetheland_2_p_ldc_fyros_leader_f	[他说的不假。你好，年轻的 homine。的确，这个营地生活的表面温和之下，隐藏着需要有勇气去面对的问题。我看到许多自称战士的人，但只有其中一些真正立得下战功。如果你觉得自己属于那少数出类拔萃的 homins，那好，我有任务给你。{break}\n
	\n
	我会先派你去完成一些简单的差事。等你用一次次成功证明了自己的价值，我才会把最艰巨的任务交给你。如果你再一次凯旋，作为这一切的报酬，我会把我用了多年的一件武器授予你——一柄配得上 Fyros 战士气魄的绝世之刃。现在去吧，等你准备好迎接我说的那些挑战时再回来。]

// HASH_VALUE EDEC4B4C2F727145
// INDEX 5006
newbieland_ranger_xleavetheland_2_p_ldc_matis_leader	[哦是吗？他又给我派来一个做着发财梦的难民。看着我们身边的这帮庸才，我已经受够了。你想要什么？要我把高贵的 Matis 艺术教给你？这可不像对我道个……问候……那么简单。{break}\n
	\n
	好吧，看在 $givervar$ 和她的人为我们所做的一切的份上。我建议你准备好再来——我可不会把我的学识交给随便什么人。你得自己挣。现在走吧，我还有事。]

// HASH_VALUE F37C83706D440181
// INDEX 5007
newbieland_ranger_xleavetheland_2_p_ldc_ok_leave	[很好，我知道你已经为我们的营地出过一些力了。不过我希望，这么早离开我们，你不会后悔。大陆完全是另一番天地。愿你在这里学到的东西，日后派上用场。我祝福你。]

// HASH_VALUE 5F7DF637EBDA73CC
// INDEX 5008
newbieland_ranger_xleavetheland_2_p_ldc_quit	[好，我无法反对你的决定，但在你走之前，我希望你帮我个小忙。不会很久，而且对你可能也有好处。]

// HASH_VALUE B02D52C986A31013
// INDEX 5009
newbieland_ranger_xleavetheland_2_p_ldc_quit2	[就这样：我只要你去找各位族长谈谈。你就会发现，他们有极其多的东西可以教你。]

// HASH_VALUE 91A9118BB252226E
// INDEX 5010
newbieland_ranger_xleavetheland_2_p_ldc_tryker_leader	[Tryker 大人？哈哈哈，我明白了，哈哈。你八成是跟 $leader_matis$ 谈过了。她嘛，怎么说呢，有点傲气。不过跟我用不着那些。$givervar$ 派你来的？嗯，这就够了。如果你想和大家一起改善我们的营地，那就欢迎！到处看看，把周围能找到的都用上；想什么时候来找我，随时来——我肯定有两三件小差事给你。愿 Jena 看顾你。]

// HASH_VALUE 2F75D8440560DC39
// INDEX 5011
newbieland_ranger_xleavetheland_2_p_ldc_zorai_leader	[对，我早料到你会来见我。你说 $givervar$ 派你来的。事情没这么简单——他跟我们所有人一样，不过是 MA-DUK 棋盘上的一枚棋子。而既然你被派到我这里，就说明一项宏图落在你的肩上。为了让你能完成一切必须完成的事，我必须为你指明技艺之路。花点时间想一想这些——然后，我将是那个教你如何发挥自身潜能的人。去吧，Atys 在召唤你！]

// HASH_VALUE A940973BCBF1D2D6
// INDEX 5012
newbieland_ranger_xleavetheland_2_p_t2_back_chiang	[我跟各族的首领都谈过了。]

// HASH_VALUE 563844790BCDF07D
// INDEX 5013
newbieland_ranger_xleavetheland_2_p_t2_fyros_leader	[向您致意。$giver$ 跟我说，您有为精锐剑客安排的任务。]

// HASH_VALUE A7A76D3E15BA873B
// INDEX 5014
newbieland_ranger_xleavetheland_2_p_t2_leader_zorai	[向您致敬，$givervar$ 派我来见您。]

// HASH_VALUE 0B32A96EC49D2797
// INDEX 5015
newbieland_ranger_xleavetheland_2_p_t2_leave_the_land	[我怎样才能离开这个地方？]

// HASH_VALUE 4DA7D83E15BA873B
// INDEX 5016
newbieland_ranger_xleavetheland_2_p_t2_matis_leader	[向您致意，$givervar$ 派我来见您。]

// HASH_VALUE A39DE806C7E2E089
// INDEX 5017
newbieland_ranger_xleavetheland_2_p_t2_tryker_leader	[向您致敬，Tryker 大人！$givervar$ 派我来为您效劳。]

// HASH_VALUE E0EB438E2109D49D
// INDEX 5018
newbieland_ranger_xleavetheland_2_rusure_m	[什么，你想离开这里？\n
	\n
	我强烈建议你别这么做。离开之前，你必须学会战斗、理解 Atys 上的生活，尤其必须完成你在这里开了头的一切。{break}\n
	\n
	你以为你已经把这里能学的都学完了？你发现的每一个谜团都解开过了吗？\n
	\n
	这真是你的最后决定吗？你确定要离开？]

// HASH_VALUE E0EB438E2109D49D
// INDEX 5019
newbieland_ranger_xleavetheland_2_rusure_f	[什么，你想离开这里？\n
	\n
	我强烈建议你别这么做。离开之前，你必须学会战斗、理解 Atys 上的生活，尤其必须完成你在这里开了头的一切。{break}\n
	\n
	你以为你已经把这里能学的都学完了？你发现的每一个谜团都解开过了吗？\n
	\n
	这真是你的最后决定吗？你确定要离开？]

// HASH_VALUE FC59EBC3DB6BC454
// INDEX 5020
newbieland_ranger_xleavetheland_2_rusure_no	[我再想想……]

// HASH_VALUE 806E0C065ABE5440
// INDEX 5021
newbieland_ranger_xleavetheland_2_rusure_yes_m	[对，我确定要走——我已下定决心。]

// HASH_VALUE 806E0C065ABE5440
// INDEX 5022
newbieland_ranger_xleavetheland_2_rusure_yes_f	[对，我确定要走——我已下定决心。]

// HASH_VALUE 99AF987B47C504C4
// INDEX 5023
newbieland_ranger_xleavetheland_gokami	[好，那就去找北面营地的 Kami 大师——他能帮你。]

// HASH_VALUE 49F52945000A8C4B
// INDEX 5024
newbieland_ranger_xleavetheland_gokara	[好，那就去找南面营地的 Karavan 军官——他能帮你。]

// HASH_VALUE 6CC6A7A795AE2F01
// INDEX 5025
newbieland_ranger_xleavetheland_kami_ques_m	[离开这片大陆，我可以帮你。\n
	\n
	Kami 魔法把 homins 传送到 homine 大城。\n
	\n
	但对小小 homins，大陆非常危险！出发前的训练很重要……\n
	\n
	Homin，确定要离开这里吗？]

// HASH_VALUE 6CC6A7A795AE2F01
// INDEX 5026
newbieland_ranger_xleavetheland_kami_ques_f	[离开这片大陆，我可以帮你。\n
	\n
	Kami 魔法把 homins 传送到 homine 大城。\n
	\n
	但对小小 homins，大陆非常危险！出发前的训练很重要……\n
	\n
	Homin，确定要离开这里吗？]

// HASH_VALUE 0000000000000000
// INDEX 5027
newbieland_ranger_xleavetheland_kami_ques_choose_dest_dummy	[]

// HASH_VALUE 051B0728FCE13BA3
// INDEX 5028
newbieland_ranger_xleavetheland_kami_ques_no	[不，我要再想想……]

// HASH_VALUE 305EEF525BB2C6A0
// INDEX 5029
newbieland_ranger_xleavetheland_kami_ques_yes	[{ros_exit}Oui, téléportez moi...]

// HASH_VALUE FE3D97896846DA0C
// INDEX 5030
newbieland_ranger_xleavetheland_kara_ques	[我可以帮你离开这片大陆。\n
	\n
	Jena 女祭司以其伟力，允许我们把你们传送到你民族的都城。\n
	\n
	但要当心：都城所在地区对新手来说非常危险！离开这片土地之前，训练至关重要……\n
	\n
	Homin，你真的想离开这里吗？]

// HASH_VALUE 786CEC5460A8A0E8
// INDEX 5031
newbieland_ranger_xleavetheland_kara_ques_choose_dest_none	[我最终没做选择。]

// HASH_VALUE 983546EE04C7FD26
// INDEX 5032
newbieland_ranger_xleavetheland_miss_desc	[找出动身去都城的办法。]

// HASH_VALUE 8CD86043CFA3D448
// INDEX 5033
newbieland_ranger_xleavetheland_mis_title	[动身前往都城。]

// HASH_VALUE 1F20395B373C13C5
// INDEX 5034
newbieland_ranger_xleavetheland_obj_kami	[去找北面营地的 $kami$，问问怎么离开。]

// HASH_VALUE 02C8700BAE039EEE
// INDEX 5035
newbieland_ranger_xleavetheland_obj_kara	[去找南面营地的 $karavan$，问问怎么离开。]

// HASH_VALUE 708C41B72AECF5B8
// INDEX 5036
newbieland_ranger_xleavetheland_popup_choose_dest_warning	[我们建议你前往你民族的都城（首选）。\n
	\n
	不过，有经验的玩家或想与朋友会合的玩家可以自行选择目的地。\n
	\n
	对新手玩家而言，从一座都城走到另一座是一段非常危险的旅程，所以请谨慎选择。\n
	\n
	这个选择不会影响你角色的发展可能：你随时可以亲自前往另一座都城，自由选择你的国籍。]

// HASH_VALUE 7C8024447C802444
// INDEX 5037
newbieland_ranger_xleavetheland_popup_title_choose_dest_warning	[当心]

// HASH_VALUE FAB82CE270164616
// INDEX 5038
newbieland_ranger_xleavetheland_p_auto_menu	[我想离开这片土地。]

// HASH_VALUE 8A1572E0C3BC42E8
// INDEX 5039
newbieland_ranger_xleavetheland_p_popup_trial	[@{W300}您的 FREETRIAL 账户不允许您继续深入 Atys 世界，也无法探索 Ryzom 的奥秘。若想继续冒险，请前往@{F90F}www.ryzom.fr@{FFFF}的"注册"栏目修改您的订阅。Atys 大陆再见。]

// HASH_VALUE 51FA52410D36112F
// INDEX 5040
newbieland_ranger_xleavetheland_p_trial_title	[免费试用账号。]

// HASH_VALUE FAB82CE270164616
// INDEX 5041
newbieland_ranger_xleavetheland_t2_kami	[我想离开这片土地。]

// HASH_VALUE 2FA4053E7D300BC4
// INDEX 5042
newbieland_slaughter_week_info_auto_menu	[出什么事了？]

// HASH_VALUE 2F8D1D4B5AF7205C
// INDEX 5043
newbieland_slaughter_week_info_intro	[Kitin！\n
	\n
	成百上千只 kitin！\n
	\n
	不，成千上万只 kitin！\n
	\n
	各领地遭到入侵：有人向我报告，在 fyros 沙漠、zorai 丛林、matis 森林，甚至 Tryker 大湖周围，都集结着整支整支的 kitin 军队。\n
	\n
	我们不知道为什么这么多 kitin 突然从 Atys 深处涌现，但有一点是肯定的：必须战斗！\n
	\n
	我们需要训练有素的年轻 homins，帮助我们最勇敢的战士打赢这场战争。\n
	\n
	我指望你了 $self$，尽快归队报效祖国！]

// HASH_VALUE 0000000000000000
// INDEX 5044
newbieland_slaughter_week_info_p_mis_desc	[]

// HASH_VALUE 0000000000000000
// INDEX 5045
newbieland_slaughter_week_info_p_mis_title	[]

// HASH_VALUE 2170A72BC8ADC16C
// INDEX 5046
newbieland_slaughter_week_shout_auto_menu	[你嚎够了没有？]

// HASH_VALUE 0000000000000000
// INDEX 5047
newbieland_slaughter_week_shout_p_mis_desc	[]

// HASH_VALUE 0000000000000000
// INDEX 5048
newbieland_slaughter_week_shout_p_mis_title	[]

// HASH_VALUE 63C438BEBF299A13
// INDEX 5049
newbieland_start_mis_desc	[重生点任务。]

// HASH_VALUE 63C438BEBF299A13
// INDEX 5050
newbieland_start_mis_title	[重生点任务。]

// HASH_VALUE 717C7641D721AAB7
// INDEX 5051
newb_kami_adept_1	[你想加入你民族的都城 $capitale$？Kami 的强大魔法可以把你传送过去。为此，你必须找到 $target$——离这里不远。用你的罗盘引路。]

// HASH_VALUE 7206E38428BFC54D
// INDEX 5052
newb_kami_adept_automenu	[我怎样才能前往大陆？]

// HASH_VALUE 108B933D0B204E6E
// INDEX 5053
newb_kami_adept_desc	[用罗盘找到 Kami 布道者。]

// HASH_VALUE 21C92D27EB8192FA
// INDEX 5054
newb_kami_adept_system_msg_1	[你可以在罗盘的任务菜单里找到 $target$ 的条目。]

// HASH_VALUE 44FA9E827A8E4732
// INDEX 5055
newb_kami_adept_title	[寻找 Kami 布道者。]

// HASH_VALUE 872B9B137B475325
// INDEX 5056
newb_karavan_guide_1	[那么，homin，你想去你民族的都城 $capitale$？多亏全能 Jena 的伟力，Karavan 可以把你传送过去。但你得先找到 $target$——离这里不远。用你的罗盘引路。]

// HASH_VALUE 7206E38428BFC54D
// INDEX 5057
newb_karavan_guide_automenu	[我怎样才能前往大陆？]

// HASH_VALUE D55B82690AA9A700
// INDEX 5058
newb_karavan_guide_desc	[为 Kami 供应建材。]

// HASH_VALUE 21C92D27EB8192FA
// INDEX 5059
newb_karavan_guide_system_msg_1	[你可以在罗盘的任务菜单里找到 $target$ 的条目。]

// HASH_VALUE 61A3C5C270CD2A09
// INDEX 5060
newb_karavan_guide_title	[寻找 Karavan 传送器。]

// HASH_VALUE 3868C89EB22A7F8A
// INDEX 5061
newb_team_fight_automenu	[队伍任务。]

// HASH_VALUE C78387A43A9B9A8C
// INDEX 5062
newb_team_fight_desc	[你的队伍必须找到并杀死一些 $kipee.p$，保护这片土地免受 $kitin.p$ 之患。]

// HASH_VALUE 469E4BBBED3CDC47
// INDEX 5063
newb_team_fight_end_1	[你干得漂亮！$people$ 为你骄傲。这场胜利将让你的声望更上一层！]

// HASH_VALUE 9D0E8B51D68E1028
// INDEX 5064
newb_team_fight_end_2	[声望对 homins 非常重要。声望好，大人物就会信任你。但声望坏，你就会成为不受欢迎的人……或者更糟——被当作敌人对待。再次祝贺你的胜利！]

// HASH_VALUE CC8345C0D5FDAD7A
// INDEX 5065
newb_team_fight_step_1_1	[看来一些 $kipee.p$——kitin 家族的成员——找到了我们的踪迹。立刻对它们采取行动，这至关重要！]

// HASH_VALUE 503EDE5935040253
// INDEX 5066
newb_team_fight_step_1_2	[$kipee.p$ 看似不具攻击性，但我们不要忘记它们对我们先祖做过的事。它们可能是极端致命的杀戮机器，追杀 homins 直至全灭。]

// HASH_VALUE F4206E0ACF8441D4
// INDEX 5067
newb_team_fight_step_1_3	[你的队伍必须找到它们中的两只并杀掉。我警告你：这些是凶残的怪物，你必须做好准备。祝你好运！]

// HASH_VALUE 0FF8D2F7B07B18ED
// INDEX 5068
newb_team_fight_title	[与 homin 宿敌的遭遇战]

// HASH_VALUE 04FEB0E90E9A562C
// INDEX 5069
new_compass	[&SYS&罗盘新增了一个目标。]

// HASH_VALUE 72485FC0B21C0D6A
// INDEX 5070
no_action_when_sitting	[&CHK&坐下时无法使用动作。]

// HASH_VALUE A45603C592927D73
// INDEX 5071
no_action_while_intangible	[&CHK&你处于虚体状态时无法使用动作。]

// HASH_VALUE 798DC54C0DBE743B
// INDEX 5072
no_action_while_mounted	[&CHK&骑乘坐骑时无法使用动作。]

// HASH_VALUE 941274E55583786B
// INDEX 5073
no_action_while_pvp	[&CHK&你最近参与过 PvP 行动，无法使用动作。]

// HASH_VALUE 798D0D6C8F0A973B
// INDEX 5074
no_action_while_swimming	[&CHK&靠近水边时无法使用动作。]

// HASH_VALUE 127A0584A9F0793C
// INDEX 5075
no_action_while_transaction	[&CHK&当你有机器人对话或交易正在进行时，无法使用动作。]

// HASH_VALUE 61E361FFBD94636C
// INDEX 5076
npe_fight_doh	[哎哟。我八成是下手重了。好吧，Karavan 或 Kami 会把你复活的……希望是。]

// HASH_VALUE 41E7D9D57C54E9C7
// INDEX 5077
npe_fight_engage_01	[别光说了，来打一场，看看会不会变样。]

// HASH_VALUE 3B669153C0D0FCFB
// INDEX 5078
npe_fight_engage_02	[真要的话也可以……*叹气*]

// HASH_VALUE 66AEE028924002CC
// INDEX 5079
npe_fight_engage_03	[啊……*打哈欠* 我都快睡着了！]

// HASH_VALUE FFF56F820C377320
// INDEX 5080
npe_fight_engage_04	[上次还没让你长记性吗？]

// HASH_VALUE 621AD3EA19400589
// INDEX 5081
npe_fight_i_lose_01	[*受伤* 啊啊……]

// HASH_VALUE 845D7EF3368C66CF
// INDEX 5082
npe_fight_i_lose_02	[*气喘吁吁* 好了好好了，停，你赢了。]

// HASH_VALUE 7920139B17DEE953
// INDEX 5083
npe_fight_i_lose_03	[嘿！你差点杀了我！？停手吧，你太危险了。]

// HASH_VALUE 8EAB55E716E8E852
// INDEX 5084
npe_fight_i_lose_04	[算了，就这样吧，我烦了。]

// HASH_VALUE 7D5A6DA18DC7FB75
// INDEX 5085
npe_fight_i_win_01	[瞧见没？最强的还是我——你还有疑问吗？]

// HASH_VALUE 9C9124AA27D9C4F1
// INDEX 5086
npe_fight_i_win_02	[我感觉你每打一场，就退步一点。]

// HASH_VALUE BB5DD986E6185232
// INDEX 5087
npe_fight_i_win_03	[啊哈！不错，这次我差点以为自己要输了。]

// HASH_VALUE 5B172C256755B5C2
// INDEX 5088
npe_fight_i_win_04	[*活动活动肌肉* 下一个！]

// HASH_VALUE 6B155C006B1BD25D
// INDEX 5089
npe_fight_start_01	[我今天状态好极了，我觉得我能单挑 Daï-Den！]

// HASH_VALUE 7C520CD9274DF7D9
// INDEX 5090
npe_fight_start_02	[&ZON&你正处于 $cont$ 大陆 $region$ 地区。]

// HASH_VALUE 5B49803DEF0E2C14
// INDEX 5091
npe_fight_start_03	[*伸懒腰* 老坐着烦死了。来一场小打活动活动筋骨？]

// HASH_VALUE 659383FE9C4A6DB6
// INDEX 5092
npe_fight_start_04	[喂！你歇够了，赶紧开打——不然我要睡着了！]

// HASH_VALUE BA33DA675E99364C
// INDEX 5093
onclick_atdest_newb_fyros_kami	[去找 Kami 谈谈，别害羞，年轻的朋友。]

// HASH_VALUE 7E115C1E9604D2FD
// INDEX 5094
onclick_atdest_newb_kami	[去和 Kami 布道者谈谈，别害羞，我的年轻朋友。]

// HASH_VALUE 0949AFAABBC9C465
// INDEX 5095
onclick_adtest_newb_kguard	[你应该去和 Karavan 传送大师谈谈。]

// HASH_VALUE 9799BAE5340E615A
// INDEX 5096
onclic_followme_newb_kguard	[跟我来，找到传送球。]

// HASH_VALUE 14CDCED09F243280
// INDEX 5097
onclick_newb_fyros_guard	[外面当心——丛林里危机四伏！]

// HASH_VALUE 14CDCED09F243280
// INDEX 5098
onclick_newb_fyros_guard_1	[外面当心——丛林里危机四伏！]

// HASH_VALUE DE49A9D71E78224C
// INDEX 5099
onclick_newb_fyros_guard_2	[嘿！听说 Karavan 卫士就在附近。当心——据说他们的力量堪比 Kami。这有可能吗？]

// HASH_VALUE 059ACFFD70F1245F
// INDEX 5100
onclick_newb_fyros_guard_3	[不知道你以前见过 Karavan 没有？他们很古怪，但据说有时乐于助人。]

// HASH_VALUE C9639C60870A1FF1
// INDEX 5101
onclick_newb_fyros_guard_4	[当心 kitin——我们尽力遏制，总还有几只在附近游荡。]

// HASH_VALUE 7A400A4388EC36ED
// INDEX 5102
onclick_newb_fyros_guard_5	[你的训练进展如何？]

// HASH_VALUE 041EF054954CB7C3
// INDEX 5103
onclick_newb_fyros_instructor_3	[你的训练进行得怎样？]

// HASH_VALUE 704CE5BF8E253FAE
// INDEX 5104
onclick_newb_fyros_instructor_4	[你真的该升级你的装备了。]

// HASH_VALUE CA07D72FE85BCF5F
// INDEX 5105
onclick_newb_fyros_instructor_5	[学习新的动作让自己更强。]

// HASH_VALUE D25F91E3A446EE58
// INDEX 5106
onclick_newb_fyros_kamiteleport	[Kami 能送你回族人身边……在燃烧沙漠。]

// HASH_VALUE 753F3203502916C7
// INDEX 5107
onclick_newb_fyros_merchant	[我有些东西你可能会感兴趣！]

// HASH_VALUE BE5BB687CAC93B67
// INDEX 5108
onclick_newb_fyros_onclick_newb_fyros_kami	[如果你想到燃烧沙漠的都城去，我可以帮你。]

// HASH_VALUE 3BE24EFA0E2FFCBA
// INDEX 5109
onclick_newb_fyros_onclick_newb_fyros_kguard	[你要找传送舱的话，跟我来。]

// HASH_VALUE C3532365717A314D
// INDEX 5110
onclick_newb_fyros_onclick_newb_fyros_kteleport	[homin，我可以把你传送到帝国沙丘。]

// HASH_VALUE E075963AA4E1540B
// INDEX 5111
onclick_newb_matis_guard	[外面当心点！]

// HASH_VALUE 6CB5E8B142657592
// INDEX 5112
onclick_newb_matis_guard_1	[&BBL&外面当心点！]

// HASH_VALUE 1D55FAEA84883E2C
// INDEX 5113
onclick_newb_matis_guard_2	[嘿！你见到 Karavan 卫士了吗！在前哨的时候，我听一位战士说，他们比 Fyros 战士还要危险。这有可能吗？]

// HASH_VALUE 1ED1BB286704A694
// INDEX 5114
onclick_newb_matis_guard_3	[我敢打赌，你以前没见过 Karavan 吧？我们跟他们交情不错，真是好事。不过我总觉得他们有点怪。]

// HASH_VALUE C963896062935D1E
// INDEX 5115
onclick_newb_matis_guard_4	[当心 kitin——我们尽力驱赶，总还有几只在附近晃荡。>]

// HASH_VALUE 7A400A4388EC36ED
// INDEX 5116
onclick_newb_matis_guard_5	[你的训练进展如何？]

// HASH_VALUE D351DC312BE842CF
// INDEX 5117
onclick_newb_matis_instructor_3	[欢迎，homin。]

// HASH_VALUE 05CDC2EDA539D6AA
// INDEX 5118
onclick_newb_matis_instructor_4	[你真的该升级你的装备了。去找商人买些新装备吧。]

// HASH_VALUE F9BFF10DA294431F
// INDEX 5119
onclick_newb_matis_instructor_5	[学习新的动作让自己更强。你可以从你的技能大师那里购买。]

// HASH_VALUE 753F3203502916C7
// INDEX 5120
onclick_newb_matis_merchant	[我有些东西你可能会感兴趣！]

// HASH_VALUE A6E8494CCBBE777F
// INDEX 5121
onclick_newb_matis_onclick_newb_matis_kguard	[为 $giver$ 的朋友 $f.member$ 供应胶质残渣供研究。]

// HASH_VALUE C353BAAA3739314D
// INDEX 5122
onclick_newb_matis_onclick_newb_matis_kteleport	[homin，我可以把你传送到威严花园。]

// HASH_VALUE 14CDCED09F243280
// INDEX 5123
onclick_newb_tryker_guard	[外面当心——丛林里危机四伏！]

// HASH_VALUE 14CDCED09F243280
// INDEX 5124
onclick_newb_tryker_guard_1	[外面当心——丛林里危机四伏！]

// HASH_VALUE DE49A9D71E78224C
// INDEX 5125
onclick_newb_tryker_guard_2	[嘿！听说 Karavan 卫士就在附近。当心——据说他们的力量堪比 Kami。这有可能吗？]

// HASH_VALUE 059ACFFD70F1245F
